,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Honiara,SB,-9.43,159.95,87.8,62,75,10.29,broken clouds
83,Sambava,MG,-14.27,50.17,65.84,84,20,8.25,few clouds
84,Huarmey,PE,-10.07,-78.15,60.08,84,34,11.23,scattered clouds
85,Qaqortoq,GL,60.72,-46.03,50.0,61,0,6.93,clear sky
86,Fairbanks,US,64.84,-147.72,73.4,33,1,5.82,clear sky
87,Nome,US,64.5,-165.41,71.01,59,1,9.17,clear sky
88,Castro,BR,-24.79,-50.01,59.07,91,100,9.69,light rain
89,Pozo Colorado,PY,-23.49,-58.8,67.33,98,100,3.04,moderate rain
90,Victoria,HK,22.29,114.16,81.0,83,90,26.4,light intensity shower rain
91,Hermanus,ZA,-34.42,19.23,48.99,72,82,1.99,broken clouds
92,Moron,AR,-34.65,-58.62,57.0,39,100,3.0,overcast clouds
93,Hobart,AU,-42.88,147.33,52.0,71,40,8.05,scattered clouds
94,Upernavik,GL,72.79,-56.15,46.18,69,100,9.55,overcast clouds
95,Wajima,JP,37.4,136.9,82.4,74,40,2.24,scattered clouds
96,Iquique,CL,-20.22,-70.14,60.8,67,90,11.41,overcast clouds
97,Mugan,CN,35.94,101.38,59.58,49,0,1.66,clear sky
98,San Felipe,VE,10.34,-68.74,73.83,92,100,2.35,overcast clouds
99,Buala,SB,-8.14,159.59,85.5,68,50,5.01,light rain
100,Saskylakh,RU,71.92,114.08,43.84,74,100,9.98,overcast clouds
101,Marion,US,39.77,-86.16,75.2,50,40,16.11,scattered clouds
102,Bredasdorp,ZA,-34.53,20.04,44.6,87,100,6.93,overcast clouds
103,Lodwar,KE,3.12,35.6,81.55,50,98,5.28,overcast clouds
104,Tasiilaq,GL,65.61,-37.64,44.6,75,99,5.82,overcast clouds
105,Saint-Philippe,RE,-21.36,55.77,64.4,72,20,3.36,few clouds
106,Thunder Bay,CA,48.4,-89.32,62.6,72,90,5.82,overcast clouds
107,Nikolskoye,RU,59.7,30.79,51.01,81,0,4.47,clear sky
108,Hami,CN,42.8,93.45,84.88,14,100,0.47,overcast clouds
109,Severo-Kurilsk,RU,50.68,156.12,51.8,85,100,15.08,overcast clouds
