,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
357,Pudozh,RU,61.81,36.53,50.25,73,89,1.83,overcast clouds
358,Cairns,AU,-16.92,145.77,79.0,57,56,10.29,broken clouds
359,Uvat,RU,59.14,68.9,49.87,95,35,3.06,scattered clouds
360,Vihti,FI,60.42,24.32,60.01,100,2,1.99,clear sky
361,Bandarbeyla,SO,9.49,50.81,77.43,75,100,26.96,overcast clouds
362,Cedral,MX,23.8,-100.73,71.89,49,100,12.95,light rain
363,Korla,CN,41.76,86.15,81.84,24,41,17.11,scattered clouds
364,Bathsheba,BB,13.22,-59.52,82.4,78,40,14.99,scattered clouds
365,Voyvozh,RU,62.89,54.96,49.62,99,100,6.6,overcast clouds
366,Kautokeino,NO,69.01,23.04,44.38,83,100,3.11,overcast clouds
367,Half Moon Bay,US,37.46,-122.43,95.0,68,1,11.41,clear sky
368,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,59.0,82,75,11.18,broken clouds
369,Berlevag,NO,70.86,29.09,50.54,84,81,8.9,broken clouds
370,Greenville,US,35.61,-77.37,77.0,88,1,2.33,clear sky
371,Urusha,RU,54.05,122.9,60.78,40,0,8.79,clear sky
372,Broome,US,42.25,-75.83,66.0,100,0,2.66,clear sky
373,Bama,NG,11.52,13.69,77.7,74,100,5.66,overcast clouds
374,Gillette,US,44.29,-105.5,91.4,15,1,13.87,clear sky
375,Saint-Paul,RE,-21.01,55.27,68.0,77,75,11.41,broken clouds
376,Prince Rupert,CA,54.32,-130.32,64.4,68,75,11.41,broken clouds
377,Vestmannaeyjar,IS,63.44,-20.27,51.98,88,30,17.54,scattered clouds
378,Udachnyy,RU,66.42,112.4,48.2,100,90,4.47,fog
379,Ajdabiya,LY,30.76,20.23,73.36,82,0,5.26,clear sky
380,Preobrazheniye,RU,42.9,133.91,78.91,72,0,11.32,clear sky
381,Chumikan,RU,54.72,135.31,57.16,68,100,13.71,overcast clouds
382,Snyder,US,32.72,-100.92,93.2,28,1,9.17,clear sky
383,Lesosibirsk,RU,58.24,92.48,60.98,93,100,4.99,light rain
384,Humberto De Campos,BR,-2.6,-43.46,76.96,78,0,7.74,clear sky
385,Shakiso,ET,5.75,38.92,60.69,83,100,1.61,overcast clouds
386,Omsukchan,RU,62.53,155.8,47.52,75,100,6.98,light rain
387,Denpasar,ID,-8.65,115.22,78.8,100,40,13.87,scattered clouds
388,Edendale,ZA,-29.65,30.31,42.01,78,0,5.88,clear sky
389,Sao Joao Da Barra,BR,-21.64,-41.05,73.92,77,0,25.3,clear sky
390,Grand-Lahou,CI,5.14,-5.02,73.29,93,19,7.63,few clouds
391,Deputatskiy,RU,69.3,139.9,37.78,98,100,5.82,light rain
392,Gonzalez,US,30.58,-87.29,87.8,62,1,10.29,clear sky
393,Roma,US,43.21,-75.46,68.0,60,20,5.82,few clouds
394,Northam,GB,51.03,-4.22,63.0,93,100,4.0,overcast clouds
395,Los Algarrobos,PA,8.5,-82.43,78.01,86,100,2.06,light rain
396,Yauya,PE,-8.98,-77.3,54.88,65,28,2.77,scattered clouds
397,Bjornevatn,NO,69.67,29.98,50.0,93,86,6.93,overcast clouds
398,Yinchuan,CN,38.47,106.27,69.58,55,0,4.14,clear sky
399,Nata,PA,8.33,-80.52,77.09,88,100,7.07,light rain
400,Giyani,ZA,-23.3,30.72,59.76,76,0,9.78,clear sky
401,La Ronge,CA,55.1,-105.28,77.0,65,20,9.17,few clouds
402,Lucapa,AO,-8.42,20.74,68.38,33,24,4.03,few clouds
403,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,73.85,79,87,11.59,overcast clouds
404,Tura,IN,25.52,90.22,76.95,89,2,4.45,clear sky
405,Makakilo City,US,21.35,-158.09,86.0,51,90,6.93,overcast clouds
406,Bira,RU,49.0,132.47,67.1,40,0,6.96,clear sky
407,Shizilu,CN,35.17,118.83,83.93,88,74,6.73,light rain
408,Areka,ET,7.07,37.7,59.22,91,100,1.1,light rain
409,Fomboni,KM,-12.28,43.74,75.94,75,100,5.1,overcast clouds
410,Uige,AO,-7.61,15.06,63.55,92,77,1.9,broken clouds
411,Tiznit,MA,29.58,-9.5,66.72,63,0,1.57,clear sky
412,Viedma,AR,-40.81,-63.0,42.01,60,70,5.99,broken clouds
413,Ridgecrest,US,35.62,-117.67,106.0,23,75,31.09,thunderstorm
414,Kiunga,PG,-6.12,141.29,83.34,66,54,2.37,broken clouds
415,Rawlins,US,41.79,-107.24,87.8,11,1,5.82,clear sky
416,Isla Mujeres,MX,21.23,-86.73,84.2,79,40,6.93,scattered clouds
417,Wodonga,AU,-36.12,146.88,50.0,87,75,4.7,broken clouds
418,Launceston,AU,-41.45,147.17,50.0,81,75,13.87,broken clouds
419,Paamiut,GL,61.99,-49.67,47.48,66,0,7.05,clear sky
420,San Nicolas,PH,18.17,120.6,84.2,83,20,4.7,few clouds
421,Grand Baie,MU,-20.02,57.58,71.01,70,62,5.01,light rain
422,Falam,MM,22.92,93.68,62.06,100,100,1.41,heavy intensity rain
423,Husavik,IS,66.04,-17.34,50.0,76,90,3.36,overcast clouds
424,Loubomo,CG,-4.2,12.67,70.14,87,60,5.01,broken clouds
425,Aasiaat,GL,68.71,-52.87,46.67,61,90,10.67,overcast clouds
426,Mareeba,AU,-17.0,145.43,79.0,57,15,10.29,few clouds
427,Atasu,KZ,48.68,71.64,61.27,52,83,12.55,light rain
428,Urcos,PE,-13.69,-71.62,51.67,66,3,5.23,clear sky
429,Port Hedland,AU,-20.32,118.57,73.4,23,0,17.22,clear sky
430,Padina,RS,45.12,20.73,64.4,100,40,4.7,scattered clouds
431,Hesla,IN,24.07,85.88,79.68,87,0,5.19,clear sky
432,Verkhoyansk,RU,67.54,133.38,52.65,69,100,13.31,light rain
433,Hemsedal,NO,60.86,8.55,50.0,88,24,1.72,few clouds
434,Pascagoula,US,30.37,-88.56,87.8,66,1,7.02,clear sky
435,Camacha,PT,33.08,-16.33,71.6,83,20,4.7,few clouds
436,Saint George,US,37.1,-113.58,109.4,10,1,8.05,clear sky
437,Kayseri,TR,38.74,35.5,51.8,76,0,4.7,clear sky
438,Sanandaj,IR,35.31,46.99,69.8,37,0,5.01,clear sky
439,Teahupoo,PF,-17.83,-149.27,86.0,62,40,9.17,scattered clouds
440,Almaznyy,RU,48.04,40.05,60.8,67,27,4.47,scattered clouds
441,San Buenaventura,MX,27.08,-101.53,84.24,49,100,17.6,light rain
442,Kununurra,AU,-15.77,128.73,84.2,30,84,2.24,broken clouds
443,Dubbo,AU,-32.25,148.62,59.0,51,0,20.8,clear sky
444,Oktyabrskoye,RU,43.06,44.74,51.8,93,0,6.71,clear sky
445,Bajina Basta,RS,43.97,19.57,55.4,100,95,3.36,overcast clouds
446,Soltsy,RU,58.12,30.32,52.56,85,51,3.4,broken clouds
447,Nuevo Progreso,MX,23.17,-97.95,84.0,63,97,1.01,overcast clouds
448,Seoul,KR,37.57,126.98,80.6,74,40,4.14,scattered clouds
449,Soria,ES,41.67,-2.67,61.0,85,100,0.63,overcast clouds
450,Conner,PH,17.8,121.33,84.24,69,100,1.39,overcast clouds
451,Ugoofaaru,MV,5.67,73.0,81.91,69,93,4.94,overcast clouds
452,Svetlyy,RU,54.67,20.13,64.4,77,12,6.71,few clouds
453,Mazatlan,MX,23.22,-106.42,88.0,66,90,5.82,overcast clouds
454,Richmond,US,37.55,-77.46,78.8,74,75,3.36,broken clouds
455,Innisfail,AU,-17.53,146.03,75.63,55,70,5.7,broken clouds
456,Chase,CA,50.82,-119.69,90.0,34,98,7.23,overcast clouds
457,Carauari,BR,-4.88,-66.9,78.98,73,92,2.46,overcast clouds
458,Ilongero,TZ,-4.67,34.87,55.8,86,64,11.97,broken clouds
459,Santa Fe,AR,-31.63,-60.7,63.0,33,0,5.01,clear sky
460,Villa Maria,AR,-32.41,-63.24,53.42,43,100,11.1,overcast clouds
461,Dzidzantun,MX,21.25,-89.05,79.41,75,0,3.91,clear sky
462,Senanga,ZM,-16.12,23.27,58.19,32,0,7.9,clear sky
463,Ploemeur,FR,47.73,-3.43,68.0,94,100,11.41,light rain
464,Ostrovnoy,RU,68.05,39.51,43.54,81,0,6.49,clear sky
465,Shiringushi,RU,53.85,42.77,51.08,88,58,3.96,broken clouds
466,Arman,RU,59.7,150.17,51.6,89,100,9.17,light rain
467,Kimberley,ZA,-28.73,24.76,32.0,88,0,4.7,clear sky
468,Artigas,UY,-30.4,-56.47,53.82,78,0,9.26,clear sky
469,Yumen,CN,40.28,97.2,73.2,20,0,15.41,clear sky
470,Alihe,CN,50.57,123.72,61.39,45,0,8.88,clear sky
471,Nova Olimpia,BR,-14.8,-57.29,85.12,21,0,5.7,clear sky
472,Najran,SA,17.49,44.13,89.6,19,40,4.7,scattered clouds
473,Isangel,VU,-19.55,169.27,78.8,65,20,6.93,few clouds
474,Galesong,ID,-5.32,119.37,80.6,57,20,2.24,few clouds
475,Broken Hill,AU,-31.95,141.43,55.4,54,75,28.86,broken clouds
476,Netarhat,IN,23.48,84.27,70.18,100,25,3.58,scattered clouds
477,Hervey Bay,AU,-25.3,152.85,75.2,50,0,14.99,clear sky
478,Kristiansund,NO,63.11,7.73,62.6,77,6,9.17,clear sky
479,Nizhniy Kuranakh,RU,58.84,125.49,56.08,61,93,6.6,overcast clouds
480,Athabasca,CA,54.72,-113.29,81.07,64,0,5.17,clear sky
481,Lagoa Santa,BR,-19.63,-43.89,69.8,64,0,6.93,clear sky
482,Whitehorse,CA,60.72,-135.05,63.0,51,75,8.05,broken clouds
483,Sindor,RU,62.86,51.89,46.11,97,100,9.01,overcast clouds
484,Alugan,PH,12.22,125.48,79.63,85,100,4.94,overcast clouds
485,Lata,PT,40.16,-8.33,70.0,86,10,1.99,clear sky
486,Mehamn,NO,71.04,27.85,49.5,86,95,5.82,overcast clouds
487,Itarema,BR,-2.92,-39.92,78.08,72,26,17.38,scattered clouds
488,Tilichiki,RU,60.47,166.1,57.06,51,100,9.62,overcast clouds
489,Mach,PK,29.86,67.33,86.13,50,0,1.5,clear sky
490,El Vigia,VE,8.62,-71.65,77.7,77,100,3.69,moderate rain
491,Kerouane,GN,9.27,-9.02,70.27,93,3,3.24,clear sky
492,Linhares,BR,-19.39,-40.07,69.19,94,0,3.69,clear sky
493,San Rafael,AR,-34.62,-68.33,46.09,56,83,17.94,broken clouds
494,Bouafle,CI,6.99,-5.74,75.2,94,43,4.59,scattered clouds
495,Bose,IT,45.46,8.01,69.01,75,0,5.99,clear sky
496,Sao Filipe,CV,14.9,-24.5,78.48,87,36,7.47,scattered clouds
497,Terrak,NO,65.09,12.37,50.0,100,5,4.7,clear sky
498,Raton,US,36.9,-104.44,89.6,11,1,10.29,clear sky
499,Wladyslawowo,PL,54.79,18.4,61.0,87,27,2.24,scattered clouds
500,Baijiantan,CN,45.63,85.18,78.01,28,96,7.27,overcast clouds
501,Cape Coast,GH,5.11,-1.25,74.89,89,97,7.63,overcast clouds
502,Bhimunipatnam,IN,17.88,83.43,80.6,94,90,9.17,drizzle
503,Yakeshi,CN,49.28,120.73,56.5,58,0,5.14,clear sky
504,Cao Bang,VN,22.67,106.25,78.37,83,100,2.13,overcast clouds
505,Port Hope,US,43.94,-82.71,66.99,63,0,12.75,clear sky
506,Fare,PF,-16.7,-151.02,78.69,74,0,19.19,clear sky
507,Karratha,AU,-20.74,116.85,71.73,27,0,20.13,clear sky
508,Clyde,US,41.3,-82.98,70.0,56,11,5.1,few clouds
509,Airai,TL,-8.93,125.41,72.75,38,0,3.18,clear sky
510,Rovaniemi,FI,66.5,25.72,44.6,87,54,5.82,broken clouds
511,Ardakan,IR,32.31,54.02,82.4,23,20,6.93,few clouds
512,Maraba,BR,-5.37,-49.12,84.2,62,0,3.36,clear sky
513,Pemba,MZ,-12.97,40.52,73.4,94,20,3.36,few clouds
514,Loding,NO,67.3,14.75,51.8,81,75,3.36,broken clouds
515,Iskateley,RU,67.68,53.15,50.54,90,100,10.92,overcast clouds
516,Pocerski Pricinovic,RS,44.72,19.71,66.99,93,40,8.05,scattered clouds
517,Touros,BR,-5.2,-35.46,73.4,94,20,4.7,few clouds
518,Brokopondo,SR,4.75,-55.17,81.61,74,100,10.25,overcast clouds
519,Gigmoto,PH,13.78,124.39,85.19,70,100,3.2,overcast clouds
520,Comodoro Rivadavia,AR,-45.87,-67.5,39.2,44,0,11.41,clear sky
521,Elk City,US,35.41,-99.4,89.6,24,1,4.7,clear sky
522,Ginir,ET,7.13,40.7,59.63,82,100,13.87,overcast clouds
523,Altamirano,MX,16.88,-92.15,59.47,100,100,0.31,light rain
524,Moerai,PF,-22.43,-151.33,70.29,77,99,26.06,overcast clouds
525,Batemans Bay,AU,-35.72,150.18,60.01,69,82,3.0,broken clouds
526,Guerrero Negro,MX,27.98,-114.06,81.79,53,0,15.82,light rain
527,Motupe,PE,-6.15,-79.71,62.55,75,68,3.67,broken clouds
528,Christchurch,NZ,-43.53,172.63,57.99,76,100,11.41,overcast clouds
529,Nenjiang,CN,49.18,125.22,60.76,62,0,10.78,clear sky
530,Bayir,TR,37.27,28.22,68.0,82,0,3.36,clear sky
531,Shubarshi,KZ,48.59,57.19,55.56,59,0,7.02,clear sky
532,Nelson Bay,AU,-32.72,152.15,69.01,32,0,23.04,clear sky
533,Remedios,CU,22.49,-79.55,82.4,83,75,2.24,broken clouds
534,Krasnoyarka,RU,55.33,73.12,55.4,93,75,6.71,broken clouds
535,Krasnoselkup,RU,65.7,82.47,60.48,61,0,12.95,clear sky
536,Vanavara,RU,60.34,102.28,59.43,48,100,5.06,overcast clouds
537,Benghazi,LY,32.12,20.07,78.67,83,0,7.31,clear sky
538,Young,UY,-32.68,-57.63,59.0,52,0,5.01,clear sky
539,Namibe,AO,-15.2,12.15,59.97,80,0,3.15,clear sky
540,Ilhabela,BR,-23.78,-45.36,68.65,84,14,3.02,few clouds
541,Aljezur,PT,37.32,-8.8,68.0,86,1,9.15,clear sky
542,San Cristobal,VE,7.77,-72.22,68.04,93,100,2.19,moderate rain
543,Samfya,ZM,-11.36,29.56,59.9,49,0,4.29,clear sky
544,Egvekinot,RU,66.32,-179.17,52.36,61,84,5.5,broken clouds
545,Santiago Del Estero,AR,-27.8,-64.26,62.94,37,0,5.7,clear sky
546,Guerrero,MX,17.67,-100.0,70.34,82,100,0.67,light rain
547,Ambilobe,MG,-13.2,49.05,64.58,70,45,5.14,scattered clouds
548,Bulawayo,ZW,-20.15,28.58,53.83,36,0,10.18,clear sky
549,Raudeberg,NO,61.99,5.14,64.0,83,4,1.74,clear sky
550,Neiafu,TO,-18.65,-173.98,80.6,83,75,16.11,broken clouds
551,Muli,MV,2.92,73.57,82.2,67,38,3.96,scattered clouds
552,Oranjemund,NA,-28.55,16.43,52.3,62,81,15.26,broken clouds
553,Mulege,MX,26.88,-111.98,91.8,49,0,5.91,clear sky
554,The Valley,AI,18.22,-63.06,84.2,74,20,10.29,few clouds
555,Panjab,AF,34.39,67.02,49.82,53,0,5.12,clear sky
556,Khor,RU,47.89,134.95,66.04,83,60,9.6,broken clouds
557,Kochi,IN,9.94,76.26,77.0,94,75,4.38,mist
558,Gat,IL,31.61,34.76,75.99,92,0,5.01,clear sky
559,Hovd,MN,48.01,91.64,66.79,40,100,5.23,overcast clouds
560,Copiapo,CL,-27.37,-70.33,51.8,76,0,6.93,clear sky
561,Taltal,CL,-25.4,-70.48,52.27,73,0,6.89,clear sky
562,Petrolina,BR,-9.4,-40.5,73.99,52,21,15.93,few clouds
563,Tiruchchendur,IN,8.48,78.12,80.06,72,90,2.68,overcast clouds
564,Batouri,CM,4.43,14.37,68.52,97,100,3.2,light rain
565,Ulladulla,AU,-35.35,150.47,64.0,45,40,20.8,scattered clouds
566,Wawa,NG,9.9,4.42,73.72,91,63,3.31,broken clouds
567,Maniitsoq,GL,65.42,-52.9,53.42,62,0,2.66,clear sky
568,Mancio Lima,BR,-7.61,-72.9,81.75,62,48,3.02,scattered clouds
569,La Asuncion,VE,11.03,-63.86,81.72,82,98,11.68,overcast clouds
570,Polyarnyy,RU,69.2,33.45,46.4,93,87,4.47,overcast clouds
571,Algiers,DZ,36.75,3.04,73.4,78,100,2.98,overcast clouds
572,Codrington,AU,-38.27,141.97,53.24,77,100,16.22,light rain
573,Bull Savanna,JM,17.89,-77.59,78.8,84,8,3.78,moderate rain
574,Dongsheng,CN,39.82,109.98,65.62,59,0,8.21,clear sky
575,Portland,US,45.52,-122.68,86.0,42,20,12.75,few clouds
576,Buraydah,SA,26.33,43.98,84.2,20,0,4.7,clear sky
577,Qui Nhon,VN,13.77,109.23,81.86,75,100,4.36,overcast clouds
578,Yazman,PK,29.12,71.74,92.66,56,11,16.82,few clouds
579,Kibala,TD,9.11,18.35,73.4,94,40,1.12,thunderstorm with light rain
580,Kapoeta,SS,4.77,33.59,72.59,83,99,0.92,overcast clouds
581,Batesville,US,35.77,-91.64,82.4,39,1,3.36,clear sky
582,Pangody,RU,65.85,74.49,59.09,72,100,14.18,overcast clouds
583,Roatan,HN,16.32,-86.54,84.09,72,85,8.12,overcast clouds
584,Orta Nova,IT,41.33,15.71,71.6,78,20,5.82,few clouds
585,Camabatela,AO,-8.19,15.38,59.65,97,90,5.93,overcast clouds
586,Carlsbad,US,33.16,-117.35,80.6,78,1,9.17,clear sky
587,Yura,PE,-16.25,-71.68,51.17,46,89,2.95,overcast clouds
588,Ruidoso,US,33.33,-105.67,80.01,24,1,9.17,clear sky
589,Toowoomba,AU,-27.55,151.97,66.2,34,0,20.8,clear sky
590,Ranong,TH,9.97,98.63,77.0,94,40,6.93,scattered clouds
591,Faya,SA,18.39,42.45,73.4,64,62,2.57,broken clouds
592,Trincomalee,LK,8.57,81.23,80.02,77,98,15.68,overcast clouds
593,Kimbe,PG,-5.55,150.14,88.88,50,0,4.18,clear sky
594,Revelstoke,CA,50.98,-118.2,84.2,42,40,4.7,scattered clouds
595,Ketchikan,US,55.34,-131.65,59.0,87,90,9.17,light rain
596,Los Llanos De Aridane,ES,28.66,-17.92,72.0,83,0,9.17,clear sky
597,Yeppoon,AU,-23.13,150.73,78.8,50,0,11.41,clear sky
598,Tonekabon,IR,36.82,50.87,71.6,88,75,2.57,broken clouds
599,Pisco,PE,-13.7,-76.22,63.0,77,40,11.41,scattered clouds
600,Pathein,MM,16.78,94.73,77.31,91,100,9.01,moderate rain
601,Port-Gentil,GA,-0.72,8.78,75.31,89,100,16.42,light rain
602,Soe,ID,-9.86,124.28,77.95,42,39,4.83,scattered clouds
603,Pochutla,MX,15.74,-96.47,82.99,79,96,4.68,light rain
604,Trairi,BR,-3.28,-39.27,77.83,77,0,13.49,clear sky
605,Santa Rosa,PH,14.31,121.11,84.99,83,84,2.1,moderate rain
606,Duzce,TR,40.84,31.16,65.43,69,0,1.63,clear sky
607,Porto Nacional,BR,-10.71,-48.42,82.4,48,65,3.36,broken clouds
608,Janauba,BR,-15.8,-43.31,70.84,59,0,8.84,clear sky
609,Erenhot,CN,43.65,111.98,63.25,70,0,14.0,clear sky
610,Kerchevskiy,RU,59.95,56.29,46.38,97,100,7.29,light rain
611,Smirnykh,RU,49.75,142.83,71.02,73,73,8.39,broken clouds
612,Evensk,RU,61.95,159.23,48.92,90,100,6.29,light rain
613,Necochea,AR,-38.55,-58.74,35.01,44,0,12.33,clear sky
614,Kobe,JP,34.69,135.18,89.6,62,40,6.93,scattered clouds
615,Bhimavaram,IN,16.53,81.53,77.97,89,100,9.46,overcast clouds
616,San Juan,AR,-31.54,-68.54,53.87,40,28,16.37,scattered clouds
617,Muisne,EC,0.6,-80.03,72.79,86,100,11.52,overcast clouds
618,Coquimbo,CL,-29.95,-71.34,51.8,71,75,5.82,broken clouds
619,Beruwala,LK,6.48,79.98,79.68,86,97,6.22,overcast clouds
620,Koronowo,PL,53.31,17.94,60.01,82,98,1.12,overcast clouds
621,Finnsnes,NO,69.23,17.98,43.0,100,100,3.36,overcast clouds
622,Anadyr,RU,64.75,177.48,55.4,71,40,4.47,scattered clouds
623,Chicama,PE,-7.84,-79.15,59.36,85,33,7.0,scattered clouds
624,Batagay,RU,67.63,134.63,50.4,79,100,10.67,light rain
625,Kisangani,CD,0.52,25.2,71.83,93,53,2.28,broken clouds
626,Codajas,BR,-3.84,-62.06,82.54,55,0,2.35,clear sky
627,Jurado,CO,7.11,-77.76,78.4,87,100,7.18,light rain
628,Uray,RU,60.12,64.78,51.33,95,73,5.06,broken clouds
629,Severobaykalsk,RU,55.65,109.32,58.93,52,0,2.1,clear sky
630,Moose Factory,CA,51.26,-80.61,53.6,81,90,5.82,overcast clouds
631,Grajau,BR,-5.82,-46.14,80.13,38,0,3.6,clear sky
632,Bandrele,YT,-12.91,45.19,75.2,83,75,1.12,broken clouds
633,Baculin,PH,7.45,126.58,82.65,70,93,1.3,overcast clouds
634,Nefteyugansk,RU,61.1,72.6,57.2,100,75,2.24,light intensity shower rain
635,Nemuro,JP,43.32,145.57,71.6,88,40,11.41,scattered clouds
636,Beloha,MG,-25.17,45.05,64.76,60,0,6.87,clear sky
637,Kendari,ID,-3.94,122.5,81.27,62,0,1.83,clear sky
638,Mogocha,RU,53.73,119.77,63.52,45,0,0.96,clear sky
639,Andros Town,BS,24.7,-77.77,86.0,70,75,9.17,thunderstorm
640,Khuzdar,PK,27.74,66.64,78.91,53,81,4.72,broken clouds
641,Parkersburg,US,39.27,-81.56,73.0,68,90,4.99,overcast clouds
642,Liepaja,LV,56.54,21.04,48.2,93,4,7.07,clear sky
643,San Ramon,US,37.78,-121.98,102.2,16,1,14.99,smoke
644,Samana,DO,19.21,-69.34,82.4,83,20,9.71,few clouds
645,Excelsior Springs,US,39.34,-94.23,73.4,53,1,4.7,clear sky
646,Haines Junction,CA,60.75,-137.51,60.31,56,74,3.02,light rain
647,Geraldton,AU,-28.77,114.6,51.8,87,41,6.93,scattered clouds
648,Barrancabermeja,CO,7.07,-73.85,77.05,94,100,3.53,moderate rain
649,Tecpan,GT,14.76,-90.99,71.6,78,90,9.17,overcast clouds
650,Lishui,CN,28.46,119.91,87.19,60,2,2.46,clear sky
651,Jurm,AF,36.86,70.83,58.69,45,0,0.98,clear sky
652,Montgomery,US,39.15,-77.2,73.99,69,1,1.7,clear sky
653,Valparaiso,CL,-33.04,-71.63,51.01,93,75,3.36,broken clouds
654,Coruripe,BR,-10.13,-36.18,73.08,83,36,13.85,scattered clouds
655,Indianola,US,41.36,-93.56,73.99,56,0,5.01,clear sky
656,Solnechnyy,RU,50.72,136.63,63.73,62,26,4.18,scattered clouds
657,Beringovskiy,RU,63.05,179.32,54.75,57,0,10.02,clear sky
658,Masuda,JP,34.67,131.85,82.4,83,20,2.24,few clouds
659,Cayenne,GF,4.93,-52.33,80.6,88,0,3.36,clear sky
660,Sur,OM,22.57,59.53,84.7,67,38,6.46,scattered clouds
661,Grand Gaube,MU,-20.01,57.66,71.01,70,79,5.01,light rain
662,Khurda,IN,20.18,85.62,78.8,100,90,6.93,thunderstorm with light rain
663,Stillwater,US,36.12,-97.06,87.8,35,1,8.05,clear sky
664,Mira,IT,45.44,12.13,70.0,88,62,8.05,broken clouds
665,Kropotkin,RU,45.44,40.58,64.38,42,0,2.42,clear sky
666,Aranda De Duero,ES,41.67,-3.69,63.86,73,78,2.17,broken clouds
667,Delfzijl,NL,53.33,6.92,60.01,100,0,5.06,mist
668,Balas,PH,15.03,120.61,84.0,83,75,2.24,broken clouds
669,Malakal,SS,9.53,31.66,69.3,96,100,2.59,overcast clouds
670,Hammerfest,NO,70.66,23.68,48.2,100,90,9.17,drizzle
671,Rentina,GR,40.66,23.61,73.0,86,48,1.99,scattered clouds
672,Augustow,PL,53.84,22.98,60.55,97,52,4.61,broken clouds
673,Wewak,PG,-3.55,143.63,83.91,67,21,8.23,few clouds
674,Paita,PE,-5.09,-81.11,62.01,83,2,17.29,clear sky
675,Puerto Ayacucho,VE,5.66,-67.62,76.55,89,100,3.62,overcast clouds
676,Stornoway,GB,58.21,-6.39,57.0,93,0,0.67,clear sky
677,Santa Flavia,IT,38.09,13.54,78.01,85,91,1.5,overcast clouds
678,Russell,US,32.35,-85.2,91.4,69,1,1.23,clear sky
679,Acapulco,MX,16.86,-99.89,84.2,74,90,9.17,overcast clouds
680,Skjervoy,NO,70.03,20.97,53.2,76,100,6.62,overcast clouds
681,Tefe,BR,-3.35,-64.71,81.36,64,4,1.12,clear sky
682,Kudahuvadhoo,MV,2.67,72.89,82.26,68,28,5.19,scattered clouds
683,Taiyuan,CN,37.87,112.56,62.6,93,40,2.24,light rain
684,Bima,ID,-8.47,118.72,83.19,58,5,5.06,clear sky
685,Pucallpa,PE,-8.38,-74.55,83.1,57,93,3.09,overcast clouds
686,Rawson,AR,-43.3,-65.1,38.97,74,57,24.56,broken clouds
687,Asau,RO,46.43,26.4,63.0,83,1,4.59,clear sky
688,Senno,RU,59.53,33.92,46.92,87,0,3.76,clear sky
689,Kampot,KH,10.62,104.18,84.2,79,40,6.93,scattered clouds
690,Naze,JP,28.37,129.48,89.6,70,20,9.17,few clouds
691,Fort Nelson,CA,58.81,-122.7,59.0,100,90,8.05,thunderstorm with light rain
692,Arroyo,ES,41.61,-4.8,69.01,67,0,6.93,clear sky
693,Chapais,CA,49.78,-74.85,55.4,87,90,6.93,overcast clouds
694,Xiangxiang,CN,27.73,112.53,85.06,75,100,2.08,overcast clouds
